,Date,Year,Month,Week,Day,Skill,Combi,Interval 15 Minutes,Skill Name,Handle Time,Avg Handle Time,Handled,Queue Offered,Outbound Handled,Outbound,In SLA,Outbound Handle Time,Outbound Time,Outbound ACW Time,Talk Time,Abandons,Short Abandons
18,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,13:45-14:00,Photo Chat,359.37,359.37,1.0,1.0,,,1.0,,,,342.34,,
19,2022-06-01,2022,Jun,44709,Wed,Email,44713Email,15:00-15:15,Photo Email Inbound,1852.41,617.47,3.0,3.0,,,3.0,,,,1852.41,,
20,2022-06-01,2022,Jun,44709,Wed,Email,44713Email,16:30-16:45,Photo Email Inbound,1066.22,533.11,2.0,2.0,,,2.0,,,,1066.22,,
21,2022-06-01,2022,Jun,44709,Wed,OB,44713OB,13:45-14:00,OB Photo,4.36,4.36,1.0,,1.0,1.0,,4.36,4.54,,4.36,,
22,2022-06-01,2022,Jun,44709,Wed,Email,44713Email,13:45-14:00,Photo Email Inbound,463.77,463.77,1.0,1.0,,,1.0,,,,463.77,,
23,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,13:45-14:00,Photo Voice,992.97,248.24,4.0,4.0,,,4.0,,,,952.94,,
24,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,14:00-14:15,Photo Chat,988.36,494.18,2.0,2.0,,,2.0,,,,951.19,,
25,2022-06-01,2022,Jun,44709,Wed,Email,44713Email,14:00-14:15,Photo Email Inbound,2407.4,1203.7,2.0,2.0,,,2.0,,,,2407.4,,
26,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,14:00-14:15,Photo Voice,3514.82,585.8,6.0,6.0,,,6.0,,,,3460.66,,
27,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,15:00-15:15,Photo Voice,2165.13,270.64,8.0,8.0,,,8.0,,,,2093.07,,
28,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,14:15-14:30,Photo Chat,3020.81,604.16,5.0,5.0,,,5.0,,,,2752.53,,
29,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,14:30-14:45,Photo Chat,2861.91,715.48,4.0,4.0,,,4.0,,,,2794.81,,
30,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,14:30-14:45,Photo Voice,2103.93,262.99,8.0,8.0,,,8.0,,,,2026.24,,
31,2022-06-01,2022,Jun,44709,Wed,OB,44713OB,14:45-15:00,OB Photo,24.7,24.7,1.0,,1.0,1.0,,24.7,24.93,,24.7,,
32,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,14:45-15:00,Photo Chat,2306.96,768.99,3.0,3.0,,,3.0,,,,2289.86,,
33,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,14:45-15:00,Photo Voice,908.82,227.2,4.0,4.0,,,4.0,,,,868.8,,
34,2022-06-01,2022,Jun,44709,Wed,OB,44713OB,15:00-15:15,OB Photo,3.68,3.68,1.0,,1.0,1.0,,3.68,3.88,,3.68,,
35,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,15:00-15:15,Photo Chat,1292.45,646.22,2.0,2.0,,,2.0,,,,1279.05,,
36,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,14:15-14:30,Photo Voice,955.21,318.4,3.0,3.0,,,3.0,,,,925.2,,
37,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,16:30-16:45,Photo Voice,426.82,213.41,2.0,2.0,,,2.0,,,,406.81,,
38,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,21:30-21:45,Photo Chat,1409.67,704.84,2.0,2.0,,,,,,,1321.07,,
39,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,16:45-17:00,Photo Voice,512.25,170.75,3.0,3.0,,,3.0,,,,487.66,,
40,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,19:00-19:15,Photo Chat,431.79,431.79,1.0,1.0,,,1.0,,,,430.83,,
41,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,19:00-19:15,Photo Voice,1464.75,366.19,4.0,4.0,,,4.0,,,,1433.8,,
42,2022-06-01,2022,Jun,44709,Wed,OB,44713OB,19:15-19:30,OB Photo,153.83,153.83,1.0,,1.0,1.0,,153.83,156.02,,153.83,,
43,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,19:15-19:30,Photo Chat,2358.12,393.02,6.0,6.0,,,6.0,,,,2273.37,,
44,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,19:15-19:30,Photo Voice,1916.81,319.47,6.0,6.0,,,6.0,,,,1866.67,,
45,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,19:30-19:45,Photo Chat,1081.36,540.68,2.0,2.0,,,2.0,,,,1070.13,,
46,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,19:30-19:45,Photo Voice,998.48,332.83,3.0,3.0,,,3.0,,,,968.47,,
47,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,18:45-19:00,Photo Voice,1271.96,423.99,3.0,3.0,,,3.0,,,,1241.89,,
48,2022-06-01,2022,Jun,44709,Wed,OB,44713OB,19:45-20:00,OB Photo,29.65,29.65,1.0,,1.0,1.0,,29.65,43.64,6.34,23.31,,
49,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,20:15-20:30,Photo Chat,918.11,459.05,2.0,2.0,,,2.0,,,,911.14,,
50,2022-06-01,2022,Jun,44709,Wed,Email,44713Email,20:15-20:30,Photo Email Inbound,1044.76,1044.76,1.0,1.0,,,,,,,1044.76,,
51,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,20:30-20:45,Photo Chat,695.05,695.05,1.0,1.0,,,1.0,,,,502.39,,
52,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,21:00-21:15,Photo Chat,1123.96,374.65,3.0,3.0,,,1.0,,,,1111.14,,
53,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,21:15-21:30,Photo Chat,1609.78,804.89,2.0,2.0,,,,,,,1545.16,,
54,2022-06-01,2022,Jun,44709,Wed,Email,44713Email,23:45-00:00,Photo Email Inbound,931.63,931.63,1.0,1.0,,,,,,,931.63,,
55,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,13:30-13:45,Photo Voice,1160.7,290.18,4.0,4.0,,,4.0,,,,1128.14,,
56,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,19:45-20:00,Photo Voice,1662.58,332.52,5.0,5.0,,,5.0,,,,1614.76,,
57,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,18:45-19:00,Photo Chat,2710.93,677.73,4.0,4.0,,,4.0,,,,2695.19,,
58,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,18:30-18:45,Photo Voice,1146.89,286.72,4.0,4.0,,,4.0,,,,1106.89,,
59,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,18:30-18:45,Photo Chat,714.62,714.62,1.0,1.0,,,1.0,,,,694.62,,
60,2022-06-01,2022,Jun,44709,Wed,OB,44713OB,17:00-17:15,OB Photo,3.59,3.59,1.0,,1.0,1.0,,3.59,3.71,,3.59,,
61,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,17:00-17:15,Photo Chat,1131.38,565.69,2.0,2.0,,,2.0,,,,1089.92,,
62,2022-06-01,2022,Jun,44709,Wed,Email,44713Email,17:00-17:15,Photo Email Inbound,778.04,389.02,2.0,2.0,,,2.0,,,,778.04,,
63,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,17:00-17:15,Photo Voice,263.63,131.82,2.0,2.0,,,2.0,,,,249.99,,
64,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,17:15-17:30,Photo Chat,419.34,419.34,1.0,1.0,,,1.0,,,,418.25,,
65,2022-06-01,2022,Jun,44709,Wed,Email,44713Email,17:15-17:30,Photo Email Inbound,316.25,316.25,1.0,1.0,,,1.0,,,,316.25,,
66,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,17:15-17:30,Photo Voice,535.39,89.23,6.0,6.0,,,4.0,,,,482.22,,
67,2022-06-01,2022,Jun,44709,Wed,OB,44713OB,17:30-17:45,OB Photo,2.33,2.33,1.0,,1.0,1.0,,2.33,2.49,,2.33,,
68,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,17:30-17:45,Photo Chat,1265.88,421.96,3.0,3.0,,,2.0,,,,1237.74,,
69,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,17:30-17:45,Photo Voice,1453.03,207.58,7.0,7.0,,,4.0,,,,1392.47,,
70,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,17:45-18:00,Photo Chat,1657.67,414.42,4.0,4.0,,,3.0,,,,1537.56,,
71,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,17:45-18:00,Photo Voice,1478.94,295.79,5.0,6.0,,,3.0,,,,1428.92,1.0,
72,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,18:00-18:15,Photo Chat,612.01,306.01,2.0,2.0,,,2.0,,,,589.75,,
73,2022-06-01,2022,Jun,44709,Wed,Email,44713Email,18:00-18:15,Photo Email Inbound,305.59,305.59,1.0,1.0,,,1.0,,,,305.59,,
74,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,18:00-18:15,Photo Voice,411.47,205.74,2.0,2.0,,,2.0,,,,393.13,,
75,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,18:15-18:30,Photo Chat,487.73,487.73,1.0,1.0,,,1.0,,,,480.47,,
76,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,18:15-18:30,Photo Voice,1120.7,280.18,4.0,4.0,,,3.0,,,,1088.29,,
77,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,16:45-17:00,Photo Chat,1056.99,528.49,2.0,2.0,,,2.0,,,,1030.95,,
78,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,13:30-13:45,Photo Chat,2015.88,503.97,4.0,4.0,,,4.0,,,,1893.39,,
79,2022-06-01,2022,Jun,44709,Wed,Email,44713Email,05:00-05:15,Photo Email Inbound,23.86,23.86,1.0,1.0,,,1.0,,,,23.86,,
80,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,13:15-13:30,Photo Voice,2564.29,366.33,7.0,7.0,,,7.0,,,,2508.05,,
81,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,08:30-08:45,Photo Voice,689.4,344.7,2.0,2.0,,,2.0,,,,677.17,,
82,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,08:45-09:00,Photo Chat,1146.66,573.33,2.0,2.0,,,2.0,,,,1090.33,,
83,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,08:45-09:00,Photo Voice,548.81,274.4,2.0,2.0,,,2.0,,,,528.79,,
84,2022-06-01,2022,Jun,44709,Wed,OB,44713OB,09:00-09:15,OB Photo,321.89,321.89,1.0,,1.0,1.0,,321.89,323.83,,321.89,,
85,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,09:00-09:15,Photo Chat,1941.76,485.44,4.0,4.0,,,3.0,,,,1863.08,,
86,2022-06-01,2022,Jun,44709,Wed,Email,44713Email,09:00-09:15,Photo Email Inbound,838.65,419.33,2.0,2.0,,,2.0,,,,838.65,,
87,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,09:00-09:15,Photo Voice,1825.45,365.09,5.0,5.0,,,5.0,,,,1782.94,,
88,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,08:30-08:45,Photo Chat,2311.24,577.81,4.0,4.0,,,4.0,,,,2166.84,,
89,2022-06-01,2022,Jun,44709,Wed,OB,44713OB,09:15-09:30,OB Photo,108.79,36.26,3.0,,3.0,3.0,,108.79,111.04,,108.79,,
90,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,09:15-09:30,Photo Voice,1050.99,262.75,4.0,4.0,,,4.0,,,,1019.14,,
91,2022-06-01,2022,Jun,44709,Wed,OB,44713OB,09:30-09:45,OB Photo,4.63,4.63,1.0,,1.0,1.0,,4.63,7.08,,4.63,,
92,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,09:30-09:45,Photo Chat,492.55,492.55,1.0,1.0,,,1.0,,,,468.34,,
93,2022-06-01,2022,Jun,44709,Wed,Email,44713Email,09:30-09:45,Photo Email Inbound,592.33,592.33,1.0,1.0,,,1.0,,,,592.33,,
94,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,09:30-09:45,Photo Voice,1056.01,211.2,5.0,5.0,,,5.0,,,,1013.08,,
95,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,09:45-10:00,Photo Chat,1483.87,370.97,4.0,4.0,,,4.0,,,,1385.74,,
96,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,09:45-10:00,Photo Voice,1588.02,317.6,5.0,5.0,,,5.0,,,,1538.01,,
97,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,09:15-09:30,Photo Chat,4085.11,817.02,5.0,5.0,,,5.0,,,,3929.78,,
98,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,10:00-10:15,Photo Chat,3845.6,640.93,6.0,6.0,,,6.0,,,,3713.64,,
99,2022-06-01,2022,Jun,44709,Wed,OB,44713OB,08:30-08:45,OB Photo,2149.93,1074.97,2.0,,2.0,2.0,,2149.93,2155.66,,2149.93,,
100,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,08:15-08:30,Photo Chat,1639.61,409.9,4.0,4.0,,,4.0,,,,1537.36,,
101,2022-06-01,2022,Jun,44709,Wed,Email,44713Email,00:15-00:30,Photo Email Inbound,366.07,366.07,1.0,1.0,,,,,,,366.07,,
102,2022-06-01,2022,Jun,44709,Wed,Email,44713Email,03:30-03:45,Photo Email Inbound,603.07,603.07,1.0,1.0,,,1.0,,,,603.07,,
103,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,05:30-05:45,Photo Chat,,,,1.0,,,,,,,,1.0,
104,2022-06-01,2022,Jun,44709,Wed,Email,44713Email,05:45-06:00,Photo Email Inbound,393.11,393.11,1.0,1.0,,,1.0,,,,393.11,,
105,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,07:00-07:15,Photo Voice,181.9,181.9,1.0,1.0,,,1.0,,,,179.01,,
106,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,07:15-07:30,Photo Chat,1807.66,903.83,2.0,2.0,,,2.0,,,,1767.08,,
107,2022-06-01,2022,Jun,44709,Wed,Email,44713Email,07:15-07:30,Photo Email Inbound,679.25,679.25,1.0,1.0,,,1.0,,,,679.25,,
108,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,08:15-08:30,Photo Voice,4781.16,1195.29,4.0,4.0,,,4.0,,,,4751.01,,
109,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,07:15-07:30,Photo Voice,168.62,168.62,1.0,1.0,,,1.0,,,,164.82,,
110,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,07:30-07:45,Photo Voice,59.85,59.85,1.0,2.0,,,1.0,,,,49.85,1.0,1.0
111,2022-06-01,2022,Jun,44709,Wed,OB,44713OB,07:45-08:00,OB Photo,4.85,4.85,1.0,,1.0,1.0,,4.85,4.98,,4.85,,
112,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,07:45-08:00,Photo Chat,326.99,326.99,1.0,1.0,,,1.0,,,,323.11,,
113,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,07:45-08:00,Photo Voice,1629.03,271.51,6.0,6.0,,,6.0,,,,1576.76,,
114,2022-06-01,2022,Jun,44709,Wed,OB,44713OB,08:00-08:15,OB Photo,6.42,6.42,1.0,,1.0,1.0,,6.42,6.6,,6.42,,
115,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,08:00-08:15,Photo Chat,1071.82,535.91,2.0,2.0,,,2.0,,,,1004.43,,
116,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,08:00-08:15,Photo Voice,256.46,128.23,2.0,2.0,,,2.0,,,,236.45,,
117,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,07:30-07:45,Photo Chat,1739.38,579.79,3.0,3.0,,,3.0,,,,1617.45,,
118,2022-06-01,2022,Jun,44709,Wed,Email,44713Email,10:00-10:15,Photo Email Inbound,671.58,671.58,1.0,1.0,,,1.0,,,,671.58,,
119,2022-06-01,2022,Jun,44709,Wed,OB,44713OB,13:30-13:45,OB Photo,315.1,157.55,2.0,,2.0,2.0,,315.1,319.82,,315.1,,
120,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,10:15-10:30,Photo Chat,2959.33,591.87,5.0,5.0,,,5.0,,,,2660.97,,
121,2022-06-01,2022,Jun,44709,Wed,Email,44713Email,11:45-12:00,Photo Email Inbound,95.91,95.91,1.0,1.0,,,1.0,,,,95.91,,
122,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,11:45-12:00,Photo Voice,434.74,217.37,2.0,2.0,,,2.0,,,,421.9,,
123,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,12:00-12:15,Photo Chat,2644.73,528.95,5.0,5.0,,,5.0,,,,2592.34,,
124,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,12:00-12:15,Photo Voice,1833.64,305.61,6.0,6.0,,,6.0,,,,1784.51,,
125,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,12:15-12:30,Photo Chat,3575.23,510.75,7.0,7.0,,,7.0,,,,3384.98,,
126,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,12:15-12:30,Photo Voice,229.8,114.9,2.0,2.0,,,2.0,,,,209.79,,
127,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,12:30-12:45,Photo Chat,4021.56,670.26,6.0,6.0,,,6.0,,,,3840.38,,
128,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,11:45-12:00,Photo Chat,898.84,449.42,2.0,2.0,,,2.0,,,,884.48,,
129,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,12:30-12:45,Photo Voice,864.63,288.21,3.0,3.0,,,3.0,,,,834.6,,
130,2022-06-01,2022,Jun,44709,Wed,Email,44713Email,12:45-13:00,Photo Email Inbound,496.32,248.16,2.0,2.0,,,2.0,,,,496.32,,
131,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,12:45-13:00,Photo Voice,686.66,228.89,3.0,3.0,,,3.0,,,,663.54,,
132,2022-06-01,2022,Jun,44709,Wed,OB,44713OB,13:00-13:15,OB Photo,5.02,2.51,2.0,,2.0,2.0,,5.02,5.37,,5.02,,
133,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,13:00-13:15,Photo Chat,1145.0,1145.0,1.0,1.0,,,1.0,,,,1127.83,,
134,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,13:00-13:15,Photo Voice,3659.69,406.63,9.0,9.0,,,9.0,,,,3577.67,,
135,2022-06-01,2022,Jun,44709,Wed,Email,44713Email,13:15-13:30,Photo Email Inbound,765.23,765.23,1.0,1.0,,,1.0,,,,765.23,,
136,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,10:00-10:15,Photo Voice,1501.92,375.48,4.0,4.0,,,4.0,,,,1461.92,,
137,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,12:45-13:00,Photo Chat,2789.57,697.39,4.0,4.0,,,4.0,,,,2702.2,,
138,2022-06-01,2022,Jun,44709,Wed,OB,44713OB,11:45-12:00,OB Photo,127.94,63.97,2.0,,2.0,2.0,,127.94,126.12,10.0,117.93,,
139,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,13:15-13:30,Photo Chat,2821.66,470.28,6.0,6.0,,,6.0,,,,2725.75,,
140,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,11:30-11:45,Photo Chat,914.21,457.11,2.0,2.0,,,2.0,,,,908.29,,
141,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,10:15-10:30,Photo Voice,3244.16,1081.39,3.0,3.0,,,3.0,,,,3214.14,,
142,2022-06-01,2022,Jun,44709,Wed,Email,44713Email,10:15-10:30,Photo Email Inbound,875.86,437.93,2.0,2.0,,,2.0,,,,875.86,,
143,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,10:30-10:45,Photo Chat,190.39,190.39,1.0,1.0,,,1.0,,,,154.98,,
144,2022-06-01,2022,Jun,44709,Wed,Email,44713Email,10:30-10:45,Photo Email Inbound,1270.53,635.27,2.0,2.0,,,2.0,,,,1270.53,,
145,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,10:30-10:45,Photo Voice,3757.13,751.43,5.0,5.0,,,5.0,,,,3714.66,,
146,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,11:30-11:45,Photo Voice,1516.3,505.43,3.0,3.0,,,3.0,,,,1486.29,,
147,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,10:45-11:00,Photo Chat,2232.97,446.59,5.0,5.0,,,5.0,,,,2157.84,,
148,2022-06-01,2022,Jun,44709,Wed,Email,44713Email,10:45-11:00,Photo Email Inbound,959.81,479.91,2.0,2.0,,,2.0,,,,959.81,,
149,2022-06-01,2022,Jun,44709,Wed,OB,44713OB,10:45-11:00,OB Photo,407.45,101.86,4.0,,4.0,4.0,,407.45,410.6,10.0,397.45,,
150,2022-06-01,2022,Jun,44709,Wed,OB,44713OB,11:00-11:15,OB Photo,5.14,5.14,1.0,,1.0,2.0,,5.14,7.41,,5.14,,
151,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,11:00-11:15,Photo Chat,3612.75,722.55,5.0,5.0,,,5.0,,,,3504.17,,
152,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,11:00-11:15,Photo Voice,590.93,295.46,2.0,2.0,,,1.0,,,,570.92,,
153,2022-06-01,2022,Jun,44709,Wed,OB,44713OB,11:15-11:30,OB Photo,3.37,3.37,1.0,,1.0,1.0,,3.37,3.63,,3.37,,
154,2022-06-01,2022,Jun,44709,Wed,Chat,44713Chat,11:15-11:30,Photo Chat,387.26,387.26,1.0,1.0,,,1.0,,,,351.41,,
155,2022-06-01,2022,Jun,44709,Wed,Email,44713Email,11:15-11:30,Photo Email Inbound,151.24,151.24,1.0,1.0,,,1.0,,,,151.24,,
156,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,11:15-11:30,Photo Voice,802.82,160.56,5.0,5.0,,,5.0,,,,752.78,,
157,2022-06-01,2022,Jun,44709,Wed,Voice,44713Voice,10:45-11:00,Photo Voice,6011.93,601.19,10.0,10.0,,,9.0,,,,5936.91,,
158,2022-06-02,2022,Jun,44709,Thu,Chat,44714Chat,15:15-15:30,Photo Chat,4644.18,1548.06,3.0,3.0,,,3.0,,,,4626.19,,
159,2022-06-02,2022,Jun,44709,Thu,Voice,44714Voice,15:15-15:30,Photo Voice,1235.8,308.95,4.0,4.0,,,4.0,,,,1203.4,,
160,2022-06-02,2022,Jun,44709,Thu,Chat,44714Chat,15:30-15:45,Photo Chat,1074.7,1074.7,1.0,1.0,,,1.0,,,,1062.14,,
161,2022-06-02,2022,Jun,44709,Thu,Voice,44714Voice,15:30-15:45,Photo Voice,2150.86,358.48,6.0,6.0,,,6.0,,,,2098.65,,
162,2022-06-02,2022,Jun,44709,Thu,Email,44714Email,15:45-16:00,Photo Email Inbound,1600.93,1600.93,1.0,1.0,,,1.0,,,,1600.93,,
163,2022-06-02,2022,Jun,44709,Thu,Voice,44714Voice,15:45-16:00,Photo Voice,3145.74,262.15,12.0,12.0,,,12.0,,,,3033.07,,
164,2022-06-02,2022,Jun,44709,Thu,Voice,44714Voice,16:30-16:45,Photo Voice,2367.3,394.55,6.0,6.0,,,6.0,,,,2315.87,,
165,2022-06-02,2022,Jun,44709,Thu,Chat,44714Chat,16:00-16:15,Photo Chat,1041.19,520.6,2.0,2.0,,,2.0,,,,1025.88,,
166,2022-06-02,2022,Jun,44709,Thu,Voice,44714Voice,16:00-16:15,Photo Voice,727.87,242.62,3.0,3.0,,,3.0,,,,697.86,,
167,2022-06-02,2022,Jun,44709,Thu,Chat,44714Chat,16:15-16:30,Photo Chat,287.71,287.71,1.0,1.0,,,1.0,,,,275.18,,
168,2022-06-02,2022,Jun,44709,Thu,Voice,44714Voice,16:15-16:30,Photo Voice,431.01,215.5,2.0,2.0,,,2.0,,,,417.86,,
169,2022-06-02,2022,Jun,44709,Thu,Chat,44714Chat,16:30-16:45,Photo Chat,5228.34,746.91,7.0,7.0,,,7.0,,,,4826.07,,
