"Date","Offered","Predicted Value"
"13-07-2016","0","182"
"14-07-2016","0","163"
"15-07-2016","0","171"
"16-07-2016","0","163"
"17-07-2016","0","170"
"18-07-2016","0","166"
"19-07-2016","0","26"
"20-07-2016","0","181"
"21-07-2016","0","162"
"22-07-2016","0","170"
"23-07-2016","0","162"
"24-07-2016","0","169"
"25-07-2016","0","165"
"26-07-2016","0","25"
"27-07-2016","0","180"
"28-07-2016","0","161"
"29-07-2016","0","169"
"30-07-2016","0","161"
"31-07-2016","0","168"
"01-08-2016","0","164"
"02-08-2016","0","24"
"03-08-2016","0","179"
"04-08-2016","0","160"
"05-08-2016","0","168"
"06-08-2016","0","160"
"07-08-2016","0","167"
"08-08-2016","0","163"
"09-08-2016","0","23"
"10-08-2016","0","178"
"11-08-2016","0","159"
"12-08-2016","0","167"
"13-08-2016","0","159"
"14-08-2016","0","166"
"15-08-2016","0","162"
"16-08-2016","0","22"
"17-08-2016","0","177"
"18-08-2016","0","158"
"19-08-2016","0","166"
"20-08-2016","0","158"
"21-08-2016","0","165"
"22-08-2016","0","161"
"23-08-2016","0","21"
"24-08-2016","0","176"
"25-08-2016","0","157"
"26-08-2016","0","165"
"27-08-2016","0","157"
"28-08-2016","0","164"
"29-08-2016","0","160"
"30-08-2016","0","20"
"31-08-2016","0","175"
"01-09-2016","0","156"
"02-09-2016","0","164"
"03-09-2016","0","156"
"04-09-2016","0","163"
"05-09-2016","0","159"
"06-09-2016","0","19"
"07-09-2016","0","174"
